Team1,Team2,Winner,Margin,Ground,Date,Link
India,South Africa,South Africa,7 wickets,Delhi,"Jun 9, 2022",https://stats.espncricinfo.com/ci/engine/match/1278687.html
Germany,Sweden,Germany,4 wickets,Krefeld,"Jun 9, 2022",https://stats.espncricinfo.com/ci/engine/match/1318358.html
Germany,Austria,Austria,38 runs,Krefeld,"Jun 10, 2022",https://stats.espncricinfo.com/ci/engine/match/1318359.html
Austria,Sweden,Austria,3 runs,Krefeld,"Jun 10, 2022",https://stats.espncricinfo.com/ci/engine/match/1318360.html
Belgium,Malta,Belgium,111 runs,Gent,"Jun 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1318354.html
Luxembourg,Switzerland,Luxembourg,18 runs,Walferdange,"Jun 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1318352.html
Austria,Sweden,Austria,1 run,Krefeld,"Jun 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1318361.html
Zimbabwe,Afghanistan,Afghanistan,6 wickets,Harare,"Jun 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1310946.html
Belgium,Malta,Belgium,84 runs,Gent,"Jun 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1318355.html
Luxembourg,Switzerland,Switzerland,78 runs,Walferdange,"Jun 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1318353.html
Sri Lanka,Australia,Sri Lanka,4 wickets,Pallekele,"Jun 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1307295.html
Germany,Sweden,Germany,29 runs,Krefeld,"Jun 11, 2022",https://stats.espncricinfo.com/ci/engine/match/1318362.html
Belgium,Malta,Belgium,122 runs,Waterloo,"Jun 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1318356.html
Germany,Austria,Germany,3 wickets,Krefeld,"Jun 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1318363.html
Zimbabwe,Afghanistan,Afghanistan,21 runs,Harare,"Jun 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1310947.html
India,South Africa,South Africa,4 wickets,Cuttack,"Jun 12, 2022",https://stats.espncricinfo.com/ci/engine/match/1278688.html
Zimbabwe,Afghanistan,Afghanistan,35 runs,Harare,"Jun 14, 2022",https://stats.espncricinfo.com/ci/engine/match/1310948.html
India,South Africa,India,48 runs,Visakhapatnam,"Jun 14, 2022",https://stats.espncricinfo.com/ci/engine/match/1278689.html
India,South Africa,India,82 runs,Rajkot,"Jun 17, 2022",https://stats.espncricinfo.com/ci/engine/match/1278690.html
Finland,Estonia,Finland,23 runs,Kerava,"Jun 19, 2022",https://stats.espncricinfo.com/ci/engine/match/1317134.html
Finland,Estonia,Finland,11 runs,Kerava,"Jun 19, 2022",https://stats.espncricinfo.com/ci/engine/match/1317135.html
Bulgaria,Serbia,Bulgaria,6 wickets,Sofia,"Jun 24, 2022",https://stats.espncricinfo.com/ci/engine/match/1317136.html
Bulgaria,Serbia,Bulgaria,5 wickets,Sofia,"Jun 25, 2022",https://stats.espncricinfo.com/ci/engine/match/1317137.html
Bulgaria,Serbia,Bulgaria,40 runs,Sofia,"Jun 25, 2022",https://stats.espncricinfo.com/ci/engine/match/1317138.html
Bulgaria,Serbia,Bulgaria,6 wickets,Sofia,"Jun 26, 2022",https://stats.espncricinfo.com/ci/engine/match/1317139.html
Ireland,India,India,7 wickets,Dublin (Malahide),"Jun 26, 2022",https://stats.espncricinfo.com/ci/engine/match/1303307.html
