Player,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Calum MacLeod,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316597.png","Calum MacLeod won a place in Scottish sport folklore when he struck a century that helped Scotland beat the world's No. 1 ODI side at the time, England, in a game in Edinburgh in 2018. That year, he also produced an unbeaten 157 against Afghanistan in a World Cup Qualifier match in Bulawayo, where he expertly dealt with legspinner Rashid Khan, liberally employing a sweep shot that he put down to his time spent playing hockey. Those knocks made him a slam-dunk choice at the end of 2018 to claim the ICC Associate Player of the Year Award, making him the second Scotland player to do so following Preston Mommsen in 2014. "
Richie Berrington,Scotland,Right hand Bat,Right arm Medium fast,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316587.png","Richie Berrington powered Scotland to their long-awaited first victory over an ICC Full Member when his century, which was made in only 56 balls and included five sixes, set-up victory over Bangladesh in a T20 international in July 2012"
Matthew Cross,Scotland,Right hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316680.png","A wicketkeeper-batter from Aberdeen, Matthew Cross got into the Scotland set-up at U-13 level, progressed up the ranks, making a good impression as vice-captain for the U-19s in the 2012 World Cup in Australia, and then broke into the senior side the following year."
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316678.png","Michael Leask is an explosive batsman from Aberdeen. He showed as much when he smeared five sixes during a memorable 16-ball 42 in an ODI against England in May 2014. But he has been hampered by inconsistency, and he only mustered 56 runs at an average of 9.33 during the World Cup Qualifiers in 2014. Leask also bowls useful off-spin, taking three wickets in Scotland's win over Tasmania in their World Cup acclimatisation tour in autumn 2014.
Leask played a solitary first-class game for Northants in a tour match against New Zealand A in 2014. He moved on to Somerset ahead of the 2016 season with Somerset's director of cricket Matt Maynard describing him as a ""feisty cricketer"". A scattering of T20 matches were his only outings in his debut season.

ESPNcricinfo staff"
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320300/320372.png","Mark Watt drew attention to himself in no uncertain terms when he took three wickets at The Grange as Scotland overturned England, who were top of the worlds rankings at the time, in an ODI for the first time."
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316679.png","Born in Huddersfield, Safyaan Sharif made his debut for Scotland at 20 after eye-catching performances for Dunfermline and Scotland U-19s, and took 4 for 27 against the Netherlands in his first ODI in 2011. With 14 wickets at 23.92 apiece, his fast-medium bowling played an important part in Scotland's success in the World Cup Qualifiers in New Zealand in 2014. "
Jonny Bairstow,England,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319794.png","Jonny Bairstow, the son of the former England wicketkeeper David Bairstow, is a combative wicketkeeper-batter who has become a cricketer to be reckoned with in England's middle order. The journey was far from easy for Bairstow, especially with Jos Buttler in contention for the gloves, but prolific run-making for Yorkshire eventually made a case that England's selectors could not ignore. Galvanised by his selection, runs flowed."
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316651.png","A stylish top-order player with an elegant and authoritative drive, Rilee Rossouw has been a high-impact batter for South Africa in limited-overs cricket.  "
Andile Phehlukwayo,South Africa,Left hand Bat,Right arm Medium fast,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320300/320334.png","Seam-bowling allrounder Andile Phehlukwayo made himself a part of South Africa's white-ball sides with his skill at the death, the ability to disguise his slower ball, and ability to contribute with the bat as a finisher. "
Mark Chapman,New Zealand,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321241.png","Born in Hong Kong, but qualifying for New Zealand through his father, Chapman began his international career with the country of his birth in 2014 having previously made the Under-19 squad as a 15-year-old. He made a century on ODI debut against UAE in 2015 having flown 20 hours following exams in New Zealand, but soon decided to throw his lot in with New Zealand and focused on his career with Auckland. His first New Zealand call-up came in early 2018 for the T20 tri-series involving England and Australia. It was reward for a prolific 2017-18 white-ball season by the left-hander, who scored over 300 runs in the Super Smash and more than 400 in the one-day Ford Trophy. He also bowls part-time left-arm spin which he has been encouraged to continue to work on. As a teenager he suffered a torn anterior cruciate ligament in his left knee playing rugby in New Zealand but it did not stall his cricket career.
ESPNcricinfo staff"
Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322400/322444.png",Durham Academy youngster Michael Jones hit 87 in a fine debut for Scotland against Ireland in Dubai as his more experienced team-mates toiled. That breakthrough was followed by a first team debut for Durham against Derbyshire at Chesterfield in June of that year.
Gavin Main,Scotland,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/179800/179829.1.jpg","Durham's growing interest in cricketers north of the border was illustrated by a first-class debut against Nottinghamshire in 2014 for Gavin Main, a fast bowler who played club cricket for the same Uddingston club as Calum MacLeod. He possesses a classical action and a fine yorker, which he showed by clean bowling Stuart Broad as he took a promising 3-72. However injuries and Scotland call-ups ensured he did not play again for Durham until the end of 2015. He made his Twenty20 International debut against Ireland on 19 June 2015, although no play was possible due to rain, and a List A debut followed against Nepal in the 2015-17 ICC World Cricket League Championship.
ESPNcricinfo"
Alasdair Evans,Scotland,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316674.png","A nagging seamer, Alasdair Evans made his ODI debut against Canada in 2011, at the age of 20. Some impressive performances for Scotland in England's 40-over competition in 2012 earned him a contract with Derbyshire, who he played for in 2012 and 2013. But, although he performed well for the 2nd XI, he made little impact in the first team and was released after 2013. That summer he took 6 for 30 against Kenya in an Intercontinental Cup match. Evans played in the 2015 ODI World Cup, scoring 28 and taking two wickets in a narrow defeat to Afghanistan. He also played the T20 World Cups in 2016 and 2021."
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316521.png","R Ashwin took the tricks and skills he learned playing tennis-ball cricket on the streets of Chennai, particularly the soduku ball, a finger-flicked legbreak, to Test cricket, where he became perhaps the leading offspinner of the first quarter of the 21st century."
Shimron Hetmyer,West Indies,Left hand Bat,,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320100/320116.png","Left-hander Shimron Hetmyer catches the eye as much for his attacking strokeplay as for his hair, coloured various shades of the rainbow. "
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321900/321943.png","Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323155.png","Nazmul Hossain Shanto emerged from an unusual source in Bangladesh cricket - the schools. A double-century in a school one-day match in Rajshahi grabbed the attention of age-group scouts, who quickly drafted the left-hander into Bangladesh's Under-17s. Soon, he graduated to the Under-19s in 2013, and went on to play two World Cups at that level, in 2014 and 2016."
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322067.png","The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. "
Devon Thomas,West Indies,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321900/321997.png","Devon Thomas kept wickets for West Indies' Under-19 in the 2008 World Cup in Malaysia. He took to cricket in 2000 and played for West Indies' Under-19s - he also represents the Leeward Islands - against Barbados in the KFC Cup in 2007-08. He made his one-day international debut in 2009, as part of the weakened West Indies team to play Bangladesh after the senior squad boycotted the series over a contracts dispute with the board. Cricinfo staff August2009"
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323172.png","Hasan Mahmud is one among a group of young pace bowlers who have given hope of a fast bowling uprising in Bangladesh, after decades of reliance on spin. Mahmud is still at a very early stage of his career, having just played a single T20I for Bangladesh, and earned a maiden call-up in the ODI side in January 2021, but already he has earned plenty of praise from Bangladesh's coaches for his ability to bowl fast, full and accurately. "
Kuldeep Yadav,India,Left hand Bat,Left arm Wrist spin,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319900/319943.png","Kuldeep Yadav started as a fast bowler when he first joined a cricket academy in Kanpur, but was asked by his coach Kapil Pandey to switch to something much rarer - left-arm wristspin. The change wasn't smooth - Kuldeep admitted that he had even tried once - but he soon realised bowling left-arm wristspin was the way forward for him. And he was good at it too, having not only solid control over the length, but also a potent wrong'un among his variations."
Hashmatullah Shahidi,Afghanistan,Left hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320495.png","Hashmatullah Shaidi is a young left-handed batsman whose hard work in Afghanistan's age group teams eventually allowed him to break into the senior squad. Shaidi started his journey in the Under-17 side and was included in Afghanistan's squad for the 2010 Under-19 World Cup in New Zealand. Four years later, he was part of the Under-19 team that beat Australia and Sri Lanka, and was rewarded with a spot in the squad for Afghanistan's first full tour of Zimbabwe. His favourite shot is the cover-drive and he idolises Kumar Sangakkara.Liam Brickhill"
Kane Williamson,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316618.png","By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010."
Graham Hume,Ireland,Left hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/112600/112615.1.jpg","Graham Hume is a left-hand batsman and right-arm medium pacer who compares his style to South African fast bowler Charl Langeveldt but whose hero is AB de Villiers. He was named in South Africa's squad for the Under-19 World Cup in New Zealand in January 2010 and he was his team's leading wicket-taker with 13 wickets. Cricinfo staff January 2010
"
Alex Obanda,Kenya,Right hand Bat,Right arm Medium fast,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321354.png","Alex Obanda, a top-order strokemaker who is particular strong through the off side, he has been considered one of the most promising young batsmen for some time. He represented Kenya at Under-17 level while still only 14, and in 2007 he was one of the successes of Kenya's participation in Zimbabwe's Logan Cup, scoring 386 runs at 38.60 including a maiden first-class hundred. That won him selection for the Africa XI in the Afro-Asia Cup in June, but he struggled in two outings against India A in August, making three ducks in four innings.  He was nevertheless rewarded with selection for the full Kenya side in the Twenty20 World Championship.
Martin Williamson
"
Collins Obuya,Kenya,Right hand Bat,Legbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321358.png","Collins Obuya hit the headlines as a legspinning allrounder in the 2003 World Cup during Kenya's astonishing march to the semi-finals, where he picked up 13 wickets at 28.76, including 5 for 24 in the victory over Sri Lanka at Nairobi. That won him a one-year contract with Warwickshire, but he failed to make any impression.  He missed his next chance on the big stage when appendicitis ruled him out of the 2004 Champions Trophy, and he then joined the players' strike which followed before heading to South Africa to play club cricket.  His continued to struggle with his bowling, and in November 2005 he went to Australia for five weeks to spend time with Terry Jenner in a bid to recapture it.  That failed, and Obuya had to develop his batting and he now plays as a specialist batsman and a very good fielder.
Martin Williamson February 2007
"
Rakep Patel,Kenya,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321385.png","One of Kenyan cricket's clutch of promising youngsters, Rakep Patel is an aggressive right-handed batsman and occasional offspinner. Patel's first outing for Kenya came on his first-class debut, aged 17, for Kenya Select XI against Westerns in Zimbabwe's Logan Cup competition. Patel started his career in the lower middle order, but has since moved up the order and his best ODI performance to date came as an opener when he cracked 92 to help seal a six-wicket win over Netherlands in Nairobi in February 2010. He had to pull out of Kenya's squad for their Intercontinental Cup game against Canada in August 2009 when his father passed away, and captain Maurice Ouma dedicated the victory in that game ""to my team-mate's dad"". Unafraid to play his shots when the situation warrants, Patel smashed 71 from just 29 balls, including eight sixes, in a 50-over match against Uganda in December 2009. But he is also developing as a batsman in the longer forms of the game, and his 87 helped Kenya chase down a target of 320 in their second innings in an Intercontinental Cup game against Netherlands in February 2010. As Kenya look to rebuild after a turbulent period and re-assert their status as the leading Associate nation, Patel could be an important part of their plans.
Liam Brickhill "
Nelson Odhiambo,Kenya,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321381.png","Named after the pre-eminent African leader of the 20th century, Nelson Mandela Odhiambo is a medium-fast seamer who represented Kenya Under-19s and Kenya A before cracking into the senior side during the Tri-series against Uganda and Scotland. His uncle, allrounder Thomas Odoyo, is one of the finest cricketers to have represented Kenya and Odhiambo had the honour of opening the bowling with him for the first time during the World Cricket League Division One tournament in Netherlands in July 2010. Though his bowling has already shown promise, Odhiambo is an unabashed tailender with a high score of 7 across all formats.
Liam Brickhill July 2010"
Shem Ngoche,Kenya,Right hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321389.png","One of a number of younger players starting to force their way into the Kenyan national side, Shem Obado Ngoche is a diminutive left-arm spinner whose early performances in the senior team suggested much promise as a limited-overs bowler. Often operating around the wicket, Ngoche does not turn the ball much but has the gift of accuracy. Ngoche comes from a strong cricket-playing family, with five of his siblings having represented the senior men's and women's sides.
Liam Brickhill "
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320467.png","A prodigious turner of the ball, teenage legspinner Shadab Khan burst onto cricket's collective consciousness only during the 2016/17 PSL season. His ability to take wickets while maintaining an excellent economy rate saw him talked up as that most frequent of phenomena: an exciting Pakistani prospect. Shadab is not afraid of bowling the wrong'un either; his only criticism might be that he bowls it a bit too often, but that hasn't helped batsmen pick it up any better, either out of the hand or off the pitch. He's also a useful lower-order right-handed batsman, something that has occasionally been witnessed during his domestic career."
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322217.png","Mohammad Nawaz started out in cricket at the age of 14 as a left-arm medium-fast bowler and a middle-order batsman. An all-round performance of 60 runs and a four-for for Rawalpindi against Sialkot in an inter-region Under-16 tournament in 2008 earned him a place in the Pakistan side for the International Under-15 Championship in the West Indies. On the slow pitches of the Caribbean, he changed his bowling style to left-arm spin and transformed into a spin-bowling allrounder, with help from  coach Ameer Akbar and team manager Haroon Rashid. "
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322223.png","Zarai Taraqiati Bank Limited may not be an esteemed name in Pakistan cricket, but it was for this deparment that Naseem Shah made his first-class debut at 15. With a natural, whippy action that generated easy pace, he immediately stood out even in that most competitive of fields - Pakistani fast bowling. A year later, he was making his Pakistan debut in Brisbane, though not before adversity touched him; he would lose his mother just before he received his first Pakistan cap. "
KL Rahul,India,Right hand Bat,NA,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319900/319942.png","A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final."
Elijah Otieno,Kenya,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321362.png","Elijah Otieno is an accurate medium-pace bowler who gets bounce from the pitch. He first came to attention when he  played for Kenya in the Logan Cup, but in three outings took only 1 for 166. He was, however, considered one of the best young prospects and one observer noted that he deserved far more success as he beats the bat so often. He has no pretensions as a batsman - he made five ducks in his first seven first-class outings. He was nevertheless rewarded with selection for the full Kenya side in the Twenty20 World Championship.
Martin Williamson
"
Mohammad Saifuddin,Bangladesh,Left hand Bat,Right arm Medium fast,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322800/322800.png","Mohammad Saifuddin is a pace-bowling allrounder whose attitude, mental make-up and early performances have excited many in Bangladesh cricket. "
Mehidy Hasan,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319728.png","Mehedi Hasan Miraz has emerged as one of the brightest young stars in Bangladesh cricket. He led the country to their first appearance in an Under-19 World Cup semi-final in February 2016, before making the year more memorable with his Test debut, against England in October."
Sabbir Rahman,Bangladesh,Right hand Bat,Legbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316665.png","Sabbir Rahman shot into the limelight with an 18-ball unbeaten 33 in the gold-medal match of the 2010 Asian Games against Afghanistan. Bangladesh needed 44 from the last five overs of the T20 game, and Sabbir coolly struck three sixes to ensure the country's first gold in the Asian Games itself."
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316700/316703.png","Even before he was anywhere near making his international debut, Taskin Ahmed became an internet sensation. A video of his spell against England Under-19s in 2012 found its way to Youtube, and the sight of a Bangladeshi fast bowler ripping it past batsman and hitting the wicketkeeper's gloves quite hard and high made people curious."
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319800/319859.png","A technically correct top-order batsman from the southern reaches of the island, Dhananjaya de Silva briefly caught the national selectors' eye in 2015, then went on to have a bumper domestic season that marked him out for more intensive national duty. De Silva had been picked on potential in Sri Lanka's mid-year T20s against Pakistan, in 2015, but didn't quite convince he was a T20 batsman, hitting 45 off 47 balls across two innings. What followed, though, was an emphatic blooming."
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/340300/340305.png","Mumbai Indians' decision to sign Tim David for INR 8.25 crore (AUD 1.5 million) at the 2022 IPL auction confirmed two things. Firstly, that the game's formats had diverged so much that a man without a state contract or even a first-class appearance to his name could be worth such a sum; and secondly, that David had become one of the world's most sought-after T20 finishers over the previous 12 months."
Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322251.png","A solid and technically sound left-hand opener, Shan Masood made it to the international side after impressing consistently at junior-level cricket. With Pakistan struggling to put together a solid opening combination, Masood was the option they turned to in the Test series against South Africa in the UAE."
Alex Hales,England,Right hand Bat,Right arm Medium,Occasional Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316604.png","Despite a central role in the resurgence of England's limited-overs team following the debacle of the 2015 World Cup, Alex Hales will probably be remembered more for what he missed than what he achieved. He sat out the 2019 World Cup after it emerged he had served a ban for a second drugs test failure for a recreational substance, which seemed to lead the England management and the team's senior players to decide that Hales' behaviour had caused a breakdown of trust between the parties. He was also overlooked for the 2021 T20 World Cup."
Ben Duckett,England,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323115.png","Ben Duckett, an exciting but untamed talent, produced what promised to be a transformative season in 2016, culminating in a call up for England's winter tours of Bangladesh and India. Career-best performances in all three formats - including the sixth-highest first-class score for Northamptonshire, a one-day double-hundred for the Lions, and a starring role on NatWest Blast Finals Day - pushed him into contention even before the withdrawals of Eoin Morgan and Alex Hales from the trip to Bangladesh made his selection inevitable."
Will Jacks,England,Right hand Bat,Right arm Offbreak,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/324300/324373.png","Earmarked for a long time as a star-in-waiting, Will Jacks first shot to mainstream attention with a 25-ball hundred in a T10 game in a pre-season game against Lancashire in Dubai. After a ton against India in an Under-19 Test in the 2017 summer, he went to the Under-19 World Cup in 2018 as vice-captain, where he hit 102 against Canada but largely struggled elsewhere."
Olly Stone,England,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/349500/349594.4.jpg",Olly Stone's injury-troubled career was encapsulated by his last moments as a Northants player. He damaged anterior cruciate ligaments and damaged his cartilage when he landed awkwardly while celebrating the dismissal of Moeen Ali in a NatWest Blast tie against Worcestershire and missed the rest of the season in embarrassing circumstances.  The possibility that he could spend up to a year out of the game did not dissuade nine counties from chasing his signature before he opted to join Warwickshire on a three-year deal.
Chris Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316603.png","By the time Chris Woakes returned from England's tour to South Africa at the start of 2016, he feared his Test career was over. He was 27 by then and had played six Tests. But, despite bowling respectably on almost every outing, he had never quite made the breakthrough and an average of 63.75 made dispiriting reading. It looked as if he may be remembered as one of England's nearly men."
Deepak Chahar,India,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322700/322704.png","Deepak Chahar is a classical swing bowler who added T20 smarts to his game to pick up 6 for 7 against Bangladesh in 2019, then the best bowling figures in T20Is. "
Umesh Yadav,India,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316667.png","Less than two seasons after fast bowler Umesh Yadav first played with a leather ball, he was bowling against the likes of Rahul Dravid and VVS Laxman in the Duleep Trophy. What makes his ascent even more remarkable is that he represents unglamorous Vidarbha in the Plate League of the Ranji Trophy. Yadav is the son of a coal-mine worker and was aiming to become a policeman. He only started considering a career in cricket as a 19-year-old, an age by which the best young Indian cricketers are in the running for a national cap. "
Mohammed Siraj,India,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322611.png","Mohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand. "
Johnson Charles,West Indies,Right hand Bat,NA,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322008.png","A muscular opener with a penchant for swatting the ball square either side of the wicket, much like Dwayne Smith, Johnson Charles was part of West Indies' T20 World Cup winning teams in 2012 and 2016. While Smith's second skill is seam bowling, Charles' is wicketkeeping. With Denesh Ramdin representing West Indies in all three formats, and Andre Fletcher also in the limited-overs mix, West Indies have used Charles' second skill sparingly."
Raymon Reifer,West Indies,Left hand Bat,Left arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322036.png","The fourth first-class cricketer from a family that includes former Test captain Floyd Reifer, Raymond Reifer has made his name for his all-round abilities. A left-arm seamer who can score useful runs down the order, Reifer's mid-20s averages with both bat and ball reflect his consistency in first-class cricket. He played a major role in Guyana's run to the 2016-17 four-day title, with 36 wickets at 21.58 and 445 runs at 37.08, which earned him a maiden call up to the West Indies Test side ahead of their 2017 tour of England.ESPNcricinfo staff
"
Yannic Cariah,West Indies,Left hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/348100/348145.4.jpg","A promising allrounder who bowls legspin, Yannic Cariah was selected in the West Indies squad for the Under-19 World Cup in New Zealand in 2010.
Cricinfo Staff, January 2010"
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316596.png","Tim Southee, a right-arm swing bowler, burst upon the international scene in great style. He was still only 19, with only one T20I cap behind him, and fresh from a Player-of-the-Tournament performance at the 2008 Under-19 World Cup when he was handed a Test debut against England in Napier. Southee responded with 5 for 55 before smashing 77 off 40 balls in the second innings with nine sixes."
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316619.png","Rated as one half of the best new-ball pair in New Zealand history by Sir Richard Hadlee, Trent Boult is a left-arm quick who presents a significant threat to batsmen around the world with an ability to move the ball both ways even in unresponsive conditions."
